
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-22 02:51:44 / ....................................................................................... ~ 1dt
  2026-08-22 02:52:53 /api/content/home-hero .................................................................. ~ 2dt
  2026-08-22 02:52:53 /api/content/home-hero .................................................................. ~ 3dt
  2026-08-22 02:52:53 /api/competitions ....................................................................... ~ 6dt
  2026-08-22 02:52:53 /api/competitions ....................................................................... ~ 8dt
  2026-08-22 02:52:55 /api/venues ............................................................................. ~ 7dt
  2026-08-22 02:53:01 /api/venues ............................................................................. ~ 3dt
  2026-08-22 02:53:03 /api/content/landing-extras ............................................................. ~ 3dt
  2026-08-22 02:53:05 /api/content/landing-extras ............................................................. ~ 2dt
  2026-08-22 02:53:06 /api/competitions ....................................................................... ~ 3dt
  2026-08-22 02:53:07 /api/competitions ....................................................................... ~ 3dt
  2026-08-22 02:53:09 /api/competition-types .................................................................. ~ 2dt
  2026-08-22 02:53:11 /api/competition-types .................................................................. ~ 2dt
  2026-08-22 02:53:12 /api/editions ........................................................................... ~ 1dt
  2026-08-22 02:53:13 /api/editions ........................................................................... ~ 1dt
  2026-08-22 02:53:13 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:53:14 /api/manage/competitions ................................................................ ~ 2dt
  2026-08-22 02:53:15 /api/manage/dashboard ................................................................... ~ 2dt
  2026-08-22 02:53:16 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-22 02:53:17 /api/manage/notifications ............................................................... ~ 2dt
  2026-08-22 02:53:18 /api/manage/notifications ............................................................... ~ 1dt
  2026-08-22 02:53:19 /api/manage/editions ............................................................... ~ 511.43ms
  2026-08-22 02:53:20 /api/manage/editions ............................................................... ~ 506.16ms
  2026-08-22 02:53:20 /api/content/home-hero ................................................................. ~ 13dt
  2026-08-22 02:53:20 /api/content/home-hero ................................................................. ~ 22dt
  2026-08-22 02:53:33 /api/competitions ...................................................................... ~ 18dt
  2026-08-22 02:53:42 /api/competitions ...................................................................... ~ 17dt
  2026-08-22 02:53:51 /api/venues ............................................................................ ~ 17dt
  2026-08-22 02:54:00 /api/venues ............................................................................ ~ 23dt
  2026-08-22 02:54:09 /api/content/landing-extras ............................................................ ~ 52dt
  2026-08-22 02:54:23 /api/content/landing-extras ............................................................ ~ 37dt
  2026-08-22 02:55:01 /api/competitions ....................................................................... ~ 3dt
  2026-08-22 02:55:01 /api/competitions ....................................................................... ~ 3dt
  2026-08-22 02:55:05 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:55:05 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:55:06 /api/manage/dashboard ................................................................... ~ 1dt
